Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
73,France,Lyon,adrienbastien_4,Mazda,6,2184,2013,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fadrienbastien_4.png?alt=media&token=b94e87fd-ca07-4dd2-a71a-8ab4c957f76f,1300,#Mazda #Mazda6 #Mazda2013,5/6/2022,6/7/2022,FALSE,FALSE,adrienbastien,28
74,Belgium,Liege,peetersmaes_0,Levc,TX,1477,2018,White,Hybrid,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpeetersmaes_0.png?alt=media&token=9dc5132c-e21d-47ef-a657-f71add03c6fd,1650,#Levc #LevcTX #Levc2018,5/9/2022,6/9/2022,FALSE,FALSE,peetersmaes,29
75,Belgium,Liege,peetersmaes_1,Alpina,B3,3346,2020,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpeetersmaes_1.png?alt=media&token=f1c7600e-537c-4b62-b402-6b0781f1ad52,1950,#Alpina #AlpinaB3 #Alpina2020,5/7/2022,5/30/2022,FALSE,FALSE,peetersmaes,29
76,Belgium,Liege,peetersmaes_2,Abarth,500,1386,2018,Red,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpeetersmaes_2.png?alt=media&token=ee09a1b9-b6ca-4143-8cee-07972693c456,950,#Abarth #Abarth500 #Abarth2018,5/18/2022,7/1/2022,FALSE,FALSE,peetersmaes,29
77,Belgium,Liege,peetersmaes_3,Honda,Civic,1798,2015,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpeetersmaes_3.png?alt=media&token=979dc480-3339-41cb-820c-8606dbc534bc,1100,#Honda #HondaCivic #Honda2015,5/6/2022,6/17/2022,FALSE,FALSE,peetersmaes,29
78,Belgium,Liege,peetersmaes_4,Honda,E,1498,2018,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fpeetersmaes_4.png?alt=media&token=e05950c6-0aa3-457f-98ef-8e8acf4206e1,850,#Honda #HondaE #Honda2018,5/4/2022,7/3/2022,FALSE,FALSE,peetersmaes,29
79,Belgium,Liege,jacobsclaes_0,Toyota,Camry,2487,2016,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjacobsclaes_0.png?alt=media&token=ede9177c-b9e5-4f77-81a4-99fe10847dad,1600,#Toyota #ToyotaCamry #Toyota2016,5/13/2022,6/19/2022,FALSE,FALSE,jacobsclaes,30
80,Belgium,Liege,jacobsclaes_1,Toyota,Proace,1997,2017,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjacobsclaes_1.png?alt=media&token=46b973b4-1fd0-4356-a1d6-c2825fec004d,2050,#Toyota #Toyota2017 #ToyotaProace,5/1/2022,6/1/2022,FALSE,FALSE,jacobsclaes,30
81,Belgium,Liege,jacobsclaes_2,Ford,Kuga,1997,2013,Grey,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjacobsclaes_2.png?alt=media&token=052d60f5-9603-4edf-91d0-ee111ad68f2d,1200,#Ford #FordKuga #Ford2013,5/2/2022,6/2/2022,FALSE,FALSE,jacobsclaes,30
82,Belgium,Liege,jacobsclaes_3,Ford,Puma,1386,2018,Red,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjacobsclaes_3.png?alt=media&token=bd5a8d41-2b36-4142-9e29-961fa22e1dc4,1380,#Ford #FordPuma #Ford2018,5/8/2022,6/24/2022,FALSE,FALSE,jacobsclaes,30
83,Belgium,Liege,jacobsclaes_4,Seat,Tarraco,1498,2018,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fjacobsclaes_4.png?alt=media&token=989ac4bc-5a0e-4979-95c6-1abb87a9c5bf,1450,#Seat #SeatTarraco #Seat2018,5/6/2022,6/17/2022,FALSE,FALSE,jacobsclaes,30
84,Belgium,Anderlecht,mertenswillems_0,Audi,Allroad,2967,2019,Black,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmertenswillems_0.png?alt=media&token=88d60047-9a6a-4f87-ad47-49f32cbf681f,1900,#Audi #AudiAllroad #Audi2019,5/16/2022,6/17/2022,FALSE,FALSE,mertenswillems,31
85,Belgium,Anderlecht,mertenswillems_1,Audi,TT,1781,2006,Black,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmertenswillems_1.png?alt=media&token=5d11bf57-3ef2-4268-ab9d-8c8ed6b20f50,950,#Audi #AudiTT #Audi2006,5/5/2022,6/5/2022,FALSE,FALSE,mertenswillems,31
86,Belgium,Anderlecht,mertenswillems_2,Bugatti,Veyron,7993,2010,White,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmertenswillems_2.png?alt=media&token=de80b088-2f50-42da-b83d-a5604ad62531,6700,#Bugatti #BugattiVeyron #Bugatti2010,5/5/2022,5/12/2022,FALSE,FALSE,mertenswillems,31
87,Belgium,Anderlecht,mertenswillems_3,Chevrolet,Aveo,1150,2004,White,Gas,Manual,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmertenswillems_3.png?alt=media&token=cfeab8e3-550e-4f4c-b130-dbb96eaadeb9,1110,#Chevrolet #ChevroletAveo #Chevrolet2004,5/2/2022,6/7/2022,FALSE,FALSE,mertenswillems,31
88,Belgium,Anderlecht,mertenswillems_4,Mercedes-Benz,AmgGT,3982,2017,Green,Gas,Auto,https://firebasestorage.googleapis.com/v0/b/dreamcar-d63e5.appspot.com/o/Images%2Fmertenswillems_4.png?alt=media&token=4f3c6953-daf6-4f02-8f95-a13c670708ce,6900,#Mercedes-Benz #Amg #AmgGT,5/10/2022,6/10/2022,FALSE,FALSE,mertenswillems,31
